rank,feature,importance,cumulative_importance
1,PeEn_ch2,0.012916666666666654,0.012916666666666654
2,PeEn_ch1,0.011979166666666655,0.02489583333333331
3,FuzzyEn_ch1,0.007604166666666651,0.03249999999999996
4,rmsa_ch1,0.00447916666666665,0.03697916666666661
5,RMSF_ch2,0.00312499999999999,0.0401041666666666
6,ApEn_ch1,0.0026041666666666496,0.04270833333333325
7,SKMean_ch1,0.0020833333333333246,0.04479166666666658
8,clearanceF_ch2,0.0019791666666666486,0.04677083333333323
9,svdpE_ch2,0.0016666666666666538,0.04843749999999988
10,enveEn_ch1,0.0015624999999999856,0.04999999999999987
11,detaDE_ch2,0.001458333333333319,0.05145833333333319
12,arv_ch1,0.0013541666666666563,0.052812499999999846
13,eE_ch2,0.0013541666666666498,0.054166666666666495
14,psdE_ch2,0.0013541666666666498,0.055520833333333144
15,kurtosis_ch1,0.0012499999999999879,0.05677083333333313
16,mean_ch1,0.0011458333333333247,0.05791666666666646
17,MSF_ch2,0.0011458333333333182,0.059062499999999775
18,SpEn_ch2,0.0011458333333333158,0.06020833333333309
19,SKSkewness_ch2,0.0010416666666666651,0.061249999999999756
20,skewness_ch1,0.0008333333333333315,0.06208333333333309
21,SKKurtosis_ch2,0.0008333333333333104,0.0629166666666664
22,peakF_ch2,0.0007291666666666476,0.06364583333333304
23,FC_ch2,0.0006249999999999821,0.06427083333333303
24,VF_ch2,0.0006249999999999789,0.064895833333333
25,FuzzyEn_ch2,0.0005208333333333249,0.06541666666666633
26,SKSkewness_ch1,0.0004166666666666652,0.065833333333333
27,SpEn_ch1,0.0003124999999999798,0.06614583333333297
28,min_ch2,0.0002083333333333215,0.0663541666666663
29,kurtosis_ch2,0.00020833333333331922,0.06656249999999962
30,impulseF_ch1,0.0002083333333333137,0.06677083333333293
31,rmsa_ch2,0.00010416666666665624,0.06687499999999959
32,mean_ch2,-8.912141857830847e-18,0.06687499999999957
33,peak_ch2,-1.0755285551056204e-17,0.06687499999999956
34,var_ch2,-2.3245294578089216e-17,0.06687499999999953
35,eE_ch1,-0.00010416666666666948,0.06677083333333286
36,arv_ch2,-0.00010416666666667966,0.06666666666666618
37,med_ch2,-0.0002083333333333448,0.06645833333333284
38,RVF_ch2,-0.00031250000000001903,0.06614583333333282
39,skewness_ch2,-0.0004166666666666697,0.06572916666666614
40,SKMean_ch2,-0.0005208333333333537,0.06520833333333279
41,SKKurtosis_ch1,-0.000625,0.06458333333333278
42,impulseF_ch2,-0.0006250000000000191,0.06395833333333277
43,ApEn_ch2,-0.000729166666666682,0.06322916666666609
44,SKStd_ch2,-0.000937500000000011,0.06229166666666608
45,peakF_ch1,-0.0011458333333333505,0.061145833333332726
46,enveEn_ch2,-0.0012500000000000078,0.05989583333333272
47,waveformF_ch1,-0.0013541666666666697,0.05854166666666605
48,max_ch2,-0.0013541666666666802,0.05718749999999937
49,detaDE_ch1,-0.0013541666666666804,0.055833333333332694
50,clearanceF_ch1,-0.001354166666666684,0.05447916666666601
51,SKStd_ch1,-0.001562500000000008,0.052916666666666
52,med_ch1,-0.0016666666666666705,0.05124999999999933
53,var_ch1,-0.0017708333333333471,0.049479166666665984
54,std_ch2,-0.0019791666666666803,0.04749999999999931
55,svdpE_ch1,-0.0019791666666666855,0.04552083333333262
56,std_ch1,-0.0020833333333333446,0.043437499999999275
57,rms_ch2,-0.002083333333333353,0.04135416666666592
58,rs_ch2,-0.002187500000000018,0.039166666666665906
59,FC_ch1,-0.00250000000000001,0.0366666666666659
60,max_ch1,-0.002500000000000012,0.03416666666666589
61,waveformF_ch2,-0.0025000000000000152,0.03166666666666587
62,min_ch1,-0.0025000000000000157,0.029166666666665855
63,rms_ch1,-0.003020833333333345,0.02614583333333251
64,peak_ch1,-0.0032291666666666823,0.02291666666666583
65,gammaDE_ch2,-0.003750000000000015,0.019166666666665815
66,MSF_ch1,-0.003750000000000015,0.0154166666666658
67,RMSF_ch1,-0.003854166666666685,0.011562499999999115
68,psdE_ch1,-0.004270833333333347,0.007291666666665768
69,gammaDE_ch1,-0.004479166666666678,0.00281249999999909
70,rs_ch1,-0.0050000000000000105,-0.0021875000000009205
71,RVF_ch1,-0.00552083333333335,-0.00770833333333427
72,VF_ch1,-0.0058333333333333475,-0.013541666666667618
73,betaDE_ch2,-0.006458333333333344,-0.02000000000000096
74,betaDE_ch1,-0.007187500000000022,-0.02718750000000098
75,thetaDE_ch1,-0.00885416666666668,-0.036041666666667665
76,alphaDE_ch1,-0.008958333333333348,-0.04500000000000101
77,thetaDE_ch2,-0.010520833333333346,-0.05552083333333436
78,alphaDE_ch2,-0.015937500000000014,-0.07145833333333437
