rank,feature,importance,cumulative_importance
1,alphaDE_ch2,0.05589552434247832,0.05589552434247832
2,PeEn_ch2,0.04792163860433269,0.10381716294681101
3,gammaDE_ch1,0.04521408421682118,0.1490312471636322
4,PeEn_ch1,0.04393801973567623,0.19296926689930843
5,betaDE_ch1,0.041874964023040834,0.23484423092234927
6,alphaDE_ch1,0.04078304788949667,0.27562727881184595
7,gammaDE_ch2,0.03866165464334087,0.3142889334551868
8,betaDE_ch2,0.03130471553477509,0.3455936489899619
9,FuzzyEn_ch1,0.028683354833507674,0.3742770038234696
10,thetaDE_ch2,0.02817707238966913,0.4024540762131388
11,detaDE_ch1,0.020668446821561406,0.42312252303470016
12,thetaDE_ch1,0.02003912659951486,0.443161649634215
13,FuzzyEn_ch2,0.01740194042427969,0.4605635900584947
14,ApEn_ch1,0.016762522108181806,0.4773261121666765
15,psdE_ch2,0.015549394043612488,0.49287550621028897
16,detaDE_ch2,0.015496468296466137,0.5083719745067551
17,SpEn_ch1,0.0154292246683372,0.5238011991750923
18,arv_ch1,0.01495351269528241,0.5387547118703747
19,rmsa_ch1,0.014108940618909811,0.5528636524892845
20,std_ch1,0.013225913747628567,0.5660895662369131
21,rms_ch1,0.013075685343491038,0.5791652515804041
22,VF_ch1,0.013052235395329327,0.5922174869757334
23,arv_ch2,0.012830346456519749,0.6050478334322531
24,RVF_ch1,0.012575313453812272,0.6176231468860653
25,rmsa_ch2,0.01236574513033852,0.6299888920164038
26,RMSF_ch1,0.011820171790814835,0.6418090638072187
27,peak_ch1,0.011643274146610084,0.6534523379538287
28,std_ch2,0.010995303718770581,0.6644476416725993
29,ApEn_ch2,0.010809860760679583,0.6752575024332789
30,svdpE_ch1,0.01068888019991434,0.6859463826331932
31,min_ch1,0.010661815134321939,0.6966081977675151
32,RVF_ch2,0.01052911405973784,0.707137311827253
33,rms_ch2,0.010523410089299612,0.7176607219165526
34,FC_ch1,0.010439210551728579,0.7280999324682812
35,SpEn_ch2,0.010436443231668069,0.7385363756999492
36,MSF_ch1,0.010060138412171082,0.7485965141121204
37,FC_ch2,0.010052760395240919,0.7586492745073613
38,rs_ch1,0.009687261323694416,0.7683365358310558
39,var_ch1,0.009552872189399424,0.7778894080204551
40,VF_ch2,0.009522477629857095,0.7874118856503123
41,svdpE_ch2,0.009169881883648368,0.7965817675339606
42,max_ch1,0.008623810248586298,0.8052055777825469
43,peak_ch2,0.008606277890972484,0.8138118556735193
44,psdE_ch1,0.008601507857473122,0.8224133635309925
45,var_ch2,0.008404660857552374,0.8308180243885449
46,RMSF_ch2,0.008259154258283581,0.8390771786468285
47,MSF_ch2,0.007993565379891616,0.8470707440267201
48,min_ch2,0.007841479110296116,0.8549122231370162
49,rs_ch2,0.007766758891702991,0.8626789820287192
50,clearanceF_ch1,0.007758108980717914,0.8704370910094371
51,enveEn_ch1,0.007190740563590919,0.877627831573028
52,SKMean_ch1,0.006891754453017229,0.8845195860260453
53,max_ch2,0.006815270571560738,0.891334856597606
54,impulseF_ch1,0.006188758853222861,0.8975236154508289
55,eE_ch1,0.005691349322694174,0.9032149647735231
56,SKMean_ch2,0.005689271729632393,0.9089042365031555
57,peakF_ch1,0.005678531272161011,0.9145827677753166
58,waveformF_ch2,0.0054365430328572354,0.9200193108081738
59,waveformF_ch1,0.005419487638621259,0.925438798446795
60,enveEn_ch2,0.005358861274920193,0.9307976597217152
61,eE_ch2,0.005222173076280794,0.936019832797996
62,peakF_ch2,0.004765597711560435,0.9407854305095565
63,clearanceF_ch2,0.004761891969252954,0.9455473224788095
64,impulseF_ch2,0.004693448497190098,0.9502407709759996
65,kurtosis_ch1,0.004536254377718217,0.9547770253537178
66,skewness_ch2,0.0040593713530848756,0.9588363967068027
67,kurtosis_ch2,0.003855587958748885,0.9626919846655515
68,SKStd_ch1,0.003766107301898934,0.9664580919674505
69,med_ch2,0.0037327474547456056,0.9701908394221961
70,SKSkewness_ch2,0.0035831565985026377,0.9737739960206987
71,SKKurtosis_ch2,0.00351149329435075,0.9772854893150494
72,SKSkewness_ch1,0.003375455438125055,0.9806609447531744
73,SKStd_ch2,0.0033446058059849186,0.9840055505591594
74,skewness_ch1,0.003337363016091366,0.9873429135752507
75,SKKurtosis_ch1,0.0033174062561424212,0.9906603198313931
76,med_ch1,0.003231302262867,0.9938916220942602
77,mean_ch2,0.003059493438614246,0.9969511155328744
78,mean_ch1,0.0030488844671255006,0.9999999999999999
