k,mean,std
5,0.3506944444444445,0.12276159395599787
10,0.3951388888888888,0.05313294239830162
15,0.4375,0.05516354752287643
20,0.4479166666666667,0.08011734256855325
25,0.44791666666666663,0.07530800950958864
30,0.44652777777777775,0.08535171423853648
35,0.4416666666666666,0.0778397570511225
40,0.44652777777777775,0.08504038619356459
45,0.44652777777777775,0.08329281422328436
50,0.4395833333333333,0.09119724079376007
55,0.43611111111111106,0.08892143501393954
60,0.44722222222222224,0.0793735114568308
65,0.43888888888888894,0.08007519614110874
70,0.44375,0.08480756175521258
75,0.43680555555555556,0.07731134944551425
