k,cum_imp
1,0.17624843253118502
2,0.2558317652616541
3,0.31801513188759295
4,0.3715184560064942
5,0.41813075823235335
6,0.4604317248535517
7,0.4982807294664172
8,0.5275842691822503
9,0.5535181679053023
10,0.5782340967986896
11,0.5959276516431842
12,0.6127566994351559
13,0.6271266459384737
14,0.6407655108463512
15,0.6532477569865341
16,0.665532459900747
17,0.677616584532232
18,0.689193603559078
19,0.6999999923799325
20,0.7100307574781426
21,0.7198562632214089
22,0.7295764457274615
23,0.7390485906037227
24,0.7482551524080545
25,0.7572357816958563
26,0.7657548025222514
27,0.7740854671909839
28,0.781898418556309
29,0.7895295720847857
30,0.7970276384530687
31,0.8044605147329126
32,0.8117565538540927
33,0.8190055464187637
34,0.8261548400283564
35,0.8332615559416652
36,0.840074272690072
37,0.8468456755640962
38,0.8533371623616365
39,0.8597067578625018
40,0.8660251647060374
41,0.8720809225370788
42,0.8777507796025814
43,0.8833850556742472
44,0.8889925537702432
45,0.8944492112138289
46,0.8997900293493646
47,0.9049392062041437
48,0.9099716491342947
49,0.9149380538078911
50,0.9198811855082435
51,0.924447172693079
52,0.9288093501339524
53,0.9331098282451414
54,0.9370036445795998
55,0.9405750772772711
56,0.9441362618911654
57,0.9476818840391494
58,0.95106820709376
59,0.954435985932012
60,0.9577583776809298
61,0.9609887060765073
62,0.9639303496707965
63,0.9668637856365176
64,0.9697493084690033
65,0.9725328007198065
66,0.9750192114688421
67,0.9773769244956314
68,0.979676292491519
69,0.9819517751885515
70,0.984132790487343
71,0.9862670873390961
72,0.988315823539644
73,0.9903430679846251
74,0.9923631895829492
75,0.994368538599879
76,0.9963192693768501
77,0.9981639534431593
78,1.0
